idx,branch_name,merge,left,right,notes,diff contains java file,imports_involved,left parent test result,left_tree_fingerprint,non_java_involved,num_diff_files,num_diff_hunks,num_diff_lines,num_intersecting_files,parents pass,right parent test result,right_tree_fingerprint,test merge,union_diff_files,sampled for testing
1,refs/heads/develop,0208735508218488254ec01471e5025b1c2f97cc,f48ce44e8435ebb642994c7795002d01d4ea87c5,789dded2d8f15fbdd4d2955d662359327b773e59,,True,True,Tests_passed,23f1f47f71cb0373d0e0af67412dac4bace21b6f5b0d8f30b0e9a8af04324fdb,True,59,192,731,2,True,Tests_passed,464511e1c2853954081c786c2e930137c1b6bd0db74b2b1d25f445640358f892,True,59,True
2,refs/heads/develop,47c84b24560b8c32131c19f4b4186ed5ecdfbead,9a5ec319d315d2395b19e4bcc46467bb78c0086a,dd5e5aa8d23c89738a12437b7ca2f5c0777bf386,,False,True,,,True,33,99,325,1,,,,False,33,False
3,refs/heads/develop,9a5ec319d315d2395b19e4bcc46467bb78c0086a,2415f1a9e88621e956cf19f6d935f340877ffa08,64b132af8218347b1fcfa88c0d848639a88e2064,,False,True,,,True,32,99,311,2,,,,False,32,False
4,refs/heads/develop,2415f1a9e88621e956cf19f6d935f340877ffa08,20e9f1c88ad4d446cae9666531e85c31a61c1d2c,3592518c4b9b264579af294e42092dde57a357d5,,True,True,Tests_failed,962a6b56e06dcc73204ac704b7fa9db847addc327df5b15841348edd918dfb3d,True,32,108,329,4,False,Tests_passed,a4894660671e8961a4cb7babfcb205b1b57e160b1c5b443cee28973fcb9d1a67,False,34,False
5,refs/heads/develop,58f6642ddf27a7f4c4354a4b7cb3f561383ce463,fa9bebc4c1f147d2561c628e21e9060cba32c422,0d87e34c2661909357c997f83f608ba65dba058e,two initial commits,False,True,,,True,139,214,9433,Error while retrieving base sha,,,,False,Error while retrieving base sha,False
6,refs/heads/develop,c2ad8d6d0cec1d5f43f3e7c9cb46afd45783ab0f,e50859054dca7a828dc5ce859438bf363f65c9a2,d33e1c9bb6a5e5e0ad7711a6f47075477893aa6a,,True,False,Tests_passed,3f7b1a149d9e218dc43654e92eea26a971404b178a64e0a2f5898d2cbc5ebc68,True,37,37,76,4,True,Tests_passed,ebcd3c15c5fc502a97ea821da367803c046eea7e358bed6886d8ce387941ec05,True,38,True
8,refs/heads/develop,3b95b1ad338c1b6efc1fcbd8f231b22abab98532,37eb9c83630b8504bd4b5f668f47b2abfbf5ab82,f031a5965e8a1303d1c9e287289ee41d5c73863b,,False,True,,,True,53,201,3132,0,,,,False,53,False
11,refs/heads/develop,c5e7a2bd2c15a9b0fd103ae090b987b9a9fa79cd,72936427265bc3f923b42ceb515a5dfdbc437d81,d00cb28aa364b9d353b59c137d2d356158231c26,,False,True,,,True,407,1704,23608,0,,,,False,407,False
12,refs/heads/develop,1fe87eeb2d3a44d429f14d3c9e9cf28fb95d6b0c,93a9c825bd0b97381d4e3d8014d5bba49ba536c0,34204caacb409973312a3e3bf4dc5e1abdc668eb,,False,False,,,True,6,58,208,1,,,,False,6,False
13,refs/heads/develop,c1c8f2441595170987132e32bf5af4a87169532a,5de2e0fccaabcfa686df8b3cdad1b8a0047b14e2,c3d0cdb6d54648b3b6cdfb980e1f0893b351359c,,False,True,,,True,89,341,1393,4,,,,False,89,False
14,refs/heads/develop,72936427265bc3f923b42ceb515a5dfdbc437d81,57ff7dd85231bfbd46978c4d2b8c74c4b5bd1fbb,c3d0cdb6d54648b3b6cdfb980e1f0893b351359c,,False,True,,,True,929,1831,90619,0,,,,False,929,False
17,refs/heads/develop,e1078474aa2f6794d4fde84e8ffcae084c031357,73f3dfa4d0daf99e118ab6371e4f002675b1add8,c4f149db64f36c62477df8789af6ba6bf2bee77a,,False,True,,,True,186,541,13237,1,,,,False,186,False
18,refs/heads/develop,27a5b9f59375bbd4c38d13ab096232462ab98de4,2360aaafc340bbfa85b24e0043710f7671869fbc,b76038af40be68145ee155f192ac837432378f85,,False,True,,,True,187,542,13442,1,,,,False,187,False
19,refs/heads/develop,2360aaafc340bbfa85b24e0043710f7671869fbc,7a80a0465a9fe301b2de423c1af8b7f32c532b52,16058e27a7c7aaf439a7e1fb8b37389d16a53479,,False,True,,,True,194,545,13200,1,,,,False,194,False
20,refs/heads/develop,380ee9f6e4443502aa98743351840c060fd9aacb,74a94ccb2ef463e44f756fbfca10896cf88dee67,e703c153e9af2d6fedd326b72a5ec97bba8fec86,,False,True,,,True,181,392,13043,2,,,,False,184,False
